eco	name	pgn	uci_moves	games	parents	fen	ply	player_white	player_black	player_white_with_children	player_black_with_children	player_total	player_total_with_children	all_pct	player_pct	player_pct_with_children	white_pct	white_pct_with_children	black_pct	black_pct_with_children	ratio_white	ratio_black
D31	Queen's Gambit Declined: Charousek Variation, Miladinovic Gambit	1. d4 d5 2. c4 e6 3. Nc3 Be7 4. e4 dxe4 5. f3	['d2d4', 'd7d5', 'c2c4', 'e7e6', 'b1c3', 'f8e7', 'e2e4', 'd5e4', 'f2f3']	3348	"[""Queen's Pawn Game"", ""Queen's Gambit"", ""Queen's Gambit Declined"", ""Queen's Gambit Declined: Queen's Knight Variation"", ""Queen's Gambit Declined: Charousek Variation""]"	rnbqk1nr/ppp1bppp/4p3/8/2PPp3/2N2P2/PP4PP/R1BQKBNR b KQkq - 0 5	9	0	0	0	0	0	0	2.2552683269697778e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C55	Italian Game: Two Knights Defense, Keidansky Variation	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. e5 d5 6. Bb5 Ne4 7. Nxd4 Bc5 8. Nxc6 Bxf2+ 9. Kf1 Qh4	['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1c4', 'g8f6', 'd2d4', 'e5d4', 'e4e5', 'd7d5', 'c4b5', 'f6e4', 'f3d4', 'f8c5', 'd4c6', 'c5f2', 'e1f1', 'd8h4']	3314	"[""King's Pawn Game"", ""King's Knight Opening"", ""King's Knight Opening: Normal Variation"", 'Italian Game', 'Italian Game: Two Knights Defense', 'Scotch Game: Scotch Gambit, Dubois Réti Defense', 'Italian Game: Two Knights Defense, Open Variation']"	r1b1k2r/ppp2ppp/2N5/1B1pP3/4n2q/8/PPP2bPP/RNBQ1K1R w kq - 2 10	18	0	0	0	0	0	0	2.2323653630758195e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B02	Alekhine Defense: Hunt Variation, Matsukevich Gambit	1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Nc3 Nxc3 6. dxc3 d6 7. Bg5	['e2e4', 'g8f6', 'e4e5', 'f6d5', 'c2c4', 'd5b6', 'c4c5', 'b6d5', 'b1c3', 'd5c3', 'd2c3', 'd7d6', 'c1g5']	3289	"[""King's Pawn Game"", 'Alekhine Defense', 'Alekhine Defense: Normal Variation', 'Alekhine Defense: Two Pawns Attack', 'Alekhine Defense: Two Pawns Attack, Lasker Variation']"	rnbqkb1r/ppp1pppp/3p4/2P1P1B1/8/2P5/PP3PPP/R2QKBNR b KQkq - 1 7	13	0	0	0	0	0	0	2.215524948447909e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B88	Sicilian Defense: Sozin Attack, Fischer Variation	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. Bc4 e6 7. Bb3 Be7 8. Be3 O-O 9. f4	['e2e4', 'c7c5', 'g1f3', 'b8c6', 'd2d4', 'c5d4', 'f3d4', 'g8f6', 'b1c3', 'd7d6', 'f1c4', 'e7e6', 'c4b3', 'f8e7', 'c1e3', 'e8g8', 'f2f4']	3276	"[""King's Pawn Game"", 'Sicilian Defense', 'Sicilian Defense: Old Sicilian', 'Sicilian Defense: Open', 'Sicilian Defense: Sozin Attack, Leonhardt Variation']"	r1bq1rk1/pp2bppp/2nppn2/8/3NPP2/1BN1B3/PPP3PP/R2QK2R b KQ - 0 9	17	0	0	0	0	0	0	2.2067679328413953e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B79	Sicilian Defense: Dragon Variation, Yugoslav Attack, Soltis Variation	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3 O-O 8. Qd2 Nc6 9. Bc4 Bd7 10. O-O-O Qa5 11. h4 Rfc8 12. Bb3 h5	['e2e4', 'c7c5', 'g1f3', 'd7d6', 'd2d4', 'c5d4', 'f3d4', 'g8f6', 'b1c3', 'g7g6', 'c1e3', 'f8g7', 'f2f3', 'e8g8', 'd1d2', 'b8c6', 'f1c4', 'c8d7', 'e1c1', 'd8a5', 'h2h4', 'f8c8', 'c4b3', 'h7h5']	3260	"[""King's Pawn Game"", 'Sicilian Defense', 'Sicilian Defense: Modern Variations', 'Sicilian Defense: Modern Variations, Main Line', 'Sicilian Defense: Dragon Variation', 'Sicilian Defense: Dragon Variation, Yugoslav Attack, Early Deviations', 'Sicilian Defense: Dragon Variation, Yugoslav Attack', 'Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line']"	r1r3k1/pp1bppb1/2np1np1/q6p/3NP2P/1BN1BP2/PPPQ2P1/2KR3R w - - 0 13	24	0	0	0	0	0	0	2.1959900674795326e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C44	King's Pawn Game: Tayler Opening, Basman Gambit	1. e4 e5 2. Nf3 Nc6 3. Be2 Nf6 4. d4 exd4 5. e5	['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1e2', 'g8f6', 'd2d4', 'e5d4', 'e4e5']	3251	"[""King's Pawn Game"", ""King's Knight Opening"", ""King's Knight Opening: Normal Variation"", ""King's Pawn Game: Tayler Opening""]"	r1bqkb1r/pppp1ppp/2n2n2/4P3/3p4/5N2/PPP1BPPP/RNBQK2R b KQkq - 0 5	9	0	0	0	0	0	0	2.1899275182134848e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C43	Russian Game: Modern Attack, Steinitz Variation	1. e4 e5 2. Nf3 Nf6 3. d4 exd4 4. e5 Ne4 5. Qe2	['e2e4', 'e7e5', 'g1f3', 'g8f6', 'd2d4', 'e5d4', 'e4e5', 'f6e4', 'd1e2']	3164	"[""King's Pawn Game"", ""King's Knight Opening"", 'Russian Game', 'Russian Game: Modern Attack']"	rnbqkb1r/pppp1ppp/8/4P3/3pn3/5N2/PPP1QPPP/RNB1KB1R b KQkq - 2 5	9	0	0	0	0	0	0	2.1313228753083562e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A00	Van Geet Opening: Hergert Gambit	1. Nc3 d6 2. f4 e5 3. fxe5 Nc6	['b1c3', 'd7d6', 'f2f4', 'e7e5', 'f4e5', 'b8c6']	3148	['Van Geet Opening']	r1bqkbnr/ppp2ppp/2np4/4P3/8/2N5/PPPPP1PP/R1BQKBNR w KQkq - 1 4	6	0	0	0	0	0	0	2.1205450099464934e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E12	Queen's Indian Defense: Kasparov Variation, Botvinnik Attack	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. Nc3 Bb7 5. Bg5 h6 6. Bh4 g5 7. Bg3 Nh5	['d2d4', 'g8f6', 'c2c4', 'e7e6', 'g1f3', 'b7b6', 'b1c3', 'c8b7', 'c1g5', 'h7h6', 'g5h4', 'g7g5', 'h4g3', 'f6h5']	3127	"[""Queen's Pawn Game"", 'Indian Defense', 'Indian Defense: Normal Variation', 'Indian Defense: Anti-Nimzo-Indian', ""Queen's Indian Defense"", ""Queen's Indian Defense: Kasparov Variation""]"	rn1qkb1r/pbpp1p2/1p2p2p/6pn/2PP4/2N2NB1/PP2PPPP/R2QKB1R w KQkq - 2 8	14	0	0	0	0	0	0	2.1063990616590486e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D41	Queen's Gambit Declined: Semi-Tarrasch Defense, Kmoch Variation	1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c5 5. cxd5 Nxd5 6. e4 Nxc3 7. bxc3 cxd4 8. cxd4 Bb4+ 9. Bd2 Bxd2+ 10. Qxd2 O-O 11. Bb5	['d2d4', 'd7d5', 'c2c4', 'e7e6', 'b1c3', 'g8f6', 'g1f3', 'c7c5', 'c4d5', 'f6d5', 'e2e4', 'd5c3', 'b2c3', 'c5d4', 'c3d4', 'f8b4', 'c1d2', 'b4d2', 'd1d2', 'e8g8', 'f1b5']	3126	"[""Queen's Pawn Game"", ""Queen's Gambit"", ""Queen's Gambit Declined"", ""Queen's Gambit Declined: Queen's Knight Variation"", ""Queen's Gambit Declined: Normal Defense""]"	rnbq1rk1/pp3ppp/4p3/1B6/3PP3/5N2/P2Q1PPP/R3K2R b KQ - 2 11	21	0	0	0	0	0	0	2.1057254450739323e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
