eco	name	pgn	uci_moves	games	parents	fen	ply	player_white	player_black	player_white_with_children	player_black_with_children	player_total	player_total_with_children	all_pct	player_pct	player_pct_with_children	white_pct	white_pct_with_children	black_pct	black_pct_with_children	ratio_white	ratio_black	popularity_rank
D00	Blackmar-Diemer Gambit: von Popiel Gambit	1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Bg5	['d2d4', 'd7d5', 'e2e4', 'd5e4', 'b1c3', 'g8f6', 'c1g5']	1119196	"[""Queen's Pawn Game"", 'Blackmar-Diemer Gambit']"	rnbqkb1r/ppp1pppp/5n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq - 3 4	7	0	0	0	0	0	0	7.53908987595958e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	646
D85	Grünfeld Defense: Exchange Variation, Modern Exchange Variation	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Nf3	['d2d4', 'g8f6', 'c2c4', 'g7g6', 'b1c3', 'd7d5', 'c4d5', 'f6d5', 'e2e4', 'd5c3', 'b2c3', 'f8g7', 'g1f3']	1106679	"[""Queen's Pawn Game"", 'Indian Defense', 'Indian Defense: Normal Variation', 'Indian Defense: West Indian Defense', ""King's Indian Defense"", 'Grünfeld Defense', 'Grünfeld Defense: Exchange Variation']"	rnbqk2r/ppp1ppbp/6p1/8/3PP3/2P2N2/P4PPP/R1BQKB1R b KQkq - 2 7	13	0	0	0	0	0	0	7.454773288000557e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	647
D37	Queen's Gambit Declined: Vienna Variation, Quiet Variation	1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 dxc4 5. e3	['d2d4', 'g8f6', 'c2c4', 'e7e6', 'g1f3', 'd7d5', 'b1c3', 'd5c4', 'e2e3']	1106433	"[""Queen's Pawn Game"", 'Indian Defense', 'Indian Defense: Normal Variation', ""Queen's Gambit Declined: Three Knights Variation"", 'Indian Defense: Anti-Nimzo-Indian', ""Queen's Gambit Declined: Three Knights, Vienna Variation""]"	rnbqkb1r/ppp2ppp/4pn2/8/2pP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 5	9	0	0	0	0	0	0	7.45311619120117e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	648
A53	Old Indian Defense: Czech Variation, with Nc3	1. d4 Nf6 2. c4 d6 3. Nc3 c6	['d2d4', 'g8f6', 'c2c4', 'd7d6', 'b1c3', 'c7c6']	1100315	"[""Queen's Pawn Game"", 'Indian Defense', 'Indian Defense: Normal Variation']"	rnbqkb1r/pp2pppp/2pp1n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4	6	0	0	0	0	0	0	7.411904328523748e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	649
A82	Dutch Defense: Staunton Gambit	1. d4 f5 2. e4	['d2d4', 'f7f5', 'e2e4']	1084177	"[""Queen's Pawn Game"", 'Dutch Defense']"	rnbqkbnr/ppppp1pp/8/5p2/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2	3	0	0	0	0	0	0	7.30319608401766e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	650
D78	Neo-Grünfeld Defense: Classical Variation, Original Defense	1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 O-O 5. Bg2 c6 6. O-O d5	['d2d4', 'g8f6', 'c2c4', 'g7g6', 'g1f3', 'f8g7', 'g2g3', 'e8g8', 'f1g2', 'c7c6', 'e1g1', 'd7d5']	1083257	"[""Queen's Pawn Game"", 'Indian Defense', 'Indian Defense: Normal Variation', 'Indian Defense: West Indian Defense']"	rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 0 7	12	0	0	0	0	0	0	7.296998811434589e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	651
D40	Queen's Gambit Declined: Semi-Tarrasch Defense, Pillsbury Variation	1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Nf3 c5 5. Bg5	['d2d4', 'd7d5', 'c2c4', 'e7e6', 'b1c3', 'g8f6', 'g1f3', 'c7c5', 'c1g5']	1081973	"[""Queen's Pawn Game"", ""Queen's Gambit"", ""Queen's Gambit Declined"", ""Queen's Gambit Declined: Queen's Knight Variation"", ""Queen's Gambit Declined: Normal Defense""]"	rnbqkb1r/pp3ppp/4pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 1 5	9	0	0	0	0	0	0	7.288349574481694e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	652
C11	French Defense: Steinitz Variation, Boleslavsky Variation	1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. e5 Nfd7 5. f4 c5 6. Nf3 Nc6 7. Be3	['e2e4', 'e7e6', 'd2d4', 'd7d5', 'b1c3', 'g8f6', 'e4e5', 'f6d7', 'f2f4', 'c7c5', 'g1f3', 'b8c6', 'c1e3']	1078550	"[""King's Pawn Game"", 'French Defense', 'French Defense: Normal Variation', 'French Defense: Paulsen Variation', 'French Defense: Classical Variation', 'French Defense: Classical Variation, Steinitz Variation', 'French Defense: Steinitz Variation']"	r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/2N1BN2/PPP3PP/R2QKB1R b KQkq - 3 7	13	0	0	0	0	0	0	7.26529167877316e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	653
E24	Nimzo-Indian Defense: Sämisch Variation, Accelerated	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3	['d2d4', 'g8f6', 'c2c4', 'e7e6', 'b1c3', 'f8b4', 'a2a3', 'b4c3', 'b2c3']	1078355	"[""Queen's Pawn Game"", 'Indian Defense', 'Indian Defense: Normal Variation', 'Nimzo-Indian Defense']"	rnbqk2r/pppp1ppp/4pn2/8/2PP4/P1P5/4PPPP/R1BQKBNR b KQkq - 0 5	9	0	0	0	0	0	0	7.263978126432183e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	654
E00	Indian Defense: Seirawan Attack	1. d4 Nf6 2. c4 e6 3. Bg5	['d2d4', 'g8f6', 'c2c4', 'e7e6', 'c1g5']	1074301	"[""Queen's Pawn Game"", 'Indian Defense', 'Indian Defense: Normal Variation']"	rnbqkb1r/pppp1ppp/4pn2/6B1/2PP4/8/PP2PPPP/RN1QKBNR b KQkq - 1 3	5	0	0	0	0	0	0	7.236669710071563e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	655
A48	Indian Defense: Colle System, King's Indian Variation	1. d4 Nf6 2. Nf3 g6 3. e3 Bg7 4. Bd3 d6	['d2d4', 'g8f6', 'g1f3', 'g7g6', 'e2e3', 'f8g7', 'f1d3', 'd7d6']	1073832	"[""Queen's Pawn Game"", 'Indian Defense', 'Indian Defense: Knights Variation', 'East Indian Defense']"	rnbqk2r/ppp1ppbp/3p1np1/8/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq - 0 5	8	0	0	0	0	0	0	7.233510448287366e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	656
B00	Nimzowitsch Defense: Kennedy Variation, Paulsen Attack	1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. Nf3	['e2e4', 'b8c6', 'd2d4', 'e7e5', 'd4e5', 'c6e5', 'g1f3']	1059631	"[""King's Pawn Game"", 'Nimzowitsch Defense', 'Nimzowitsch Defense: Kennedy Variation']"	r1bqkbnr/pppp1ppp/8/4n3/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 4	7	0	0	0	0	0	0	7.137850157034984e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	657
C42	Russian Game: Nimzowitsch Attack	1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. Nc3	['e2e4', 'e7e5', 'g1f3', 'g8f6', 'f3e5', 'd7d6', 'e5f3', 'f6e4', 'b1c3']	1059421	"[""King's Pawn Game"", ""King's Knight Opening"", 'Russian Game']"	rnbqkb1r/ppp2ppp/3p4/8/4n3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 5	9	0	0	0	0	0	0	7.136435562206239e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	658
C20	King's Pawn Game: Tortoise Opening	1. e4 e5 2. Bd3	['e2e4', 'e7e5', 'f1d3']	1057712	"[""King's Pawn Game""]"	rnbqkbnr/pppp1ppp/8/4p3/4P3/3B4/PPPP1PPP/RNBQK1NR b KQkq - 1 2	3	0	0	0	0	0	0	7.124923454766599e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	659
A45	Trompowsky Attack: Classical Defense, Big Center Variation	1. d4 Nf6 2. Bg5 e6 3. e4	['d2d4', 'g8f6', 'c1g5', 'e7e6', 'e2e4']	1056161	"[""Queen's Pawn Game"", 'Indian Defense', 'Trompowsky Attack', 'Trompowsky Attack: Classical Defense']"	rnbqkb1r/pppp1ppp/4pn2/6B1/3PP3/8/PPP2PPP/RN1QKBNR b KQkq - 0 3	5	0	0	0	0	0	0	7.114475661531444e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	660
B06	Modern Defense: Norwegian Defense	1. e4 g6 2. d4 Nf6	['e2e4', 'g7g6', 'd2d4', 'g8f6']	1056092	"[""King's Pawn Game"", 'Modern Defense']"	rnbqkb1r/pppppp1p/5np1/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3	4	0	0	0	0	0	0	7.114010866087713e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	661
D55	Queen's Gambit Declined: Neo-Orthodox Variation, Main Line	1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Be7 5. Bg5 h6 6. Bh4 O-O 7. e3	['d2d4', 'g8f6', 'c2c4', 'e7e6', 'g1f3', 'd7d5', 'b1c3', 'f8e7', 'c1g5', 'h7h6', 'g5h4', 'e8g8', 'e2e3']	1053472	"[""Queen's Pawn Game"", 'Indian Defense', 'Indian Defense: Normal Variation', ""Queen's Gambit Declined: Three Knights Variation"", 'Indian Defense: Anti-Nimzo-Indian']"	rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R b KQ - 0 7	13	0	0	0	0	0	0	7.096362111557663e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	662
